,ItemID,classId,buildType,installId,playerName,playerId,timestamp,platform,sessionId,teacherId,type,unit,buildVersion,PlayerpostionX,PlayerpostionZ,PlayerpostionY,CamerarotationX,CamerarotationZ,CamerarotationY,QuestTableF,TasktableF,Scenenames,buildVersion.1,argSuccessTitle,argSuccessDescript,argSuccessFeedback
1,5c536303e4194c47a14dd293,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,-3.612389803,-62.43475342,0.77767837,-0.98599571,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Argumentation Tutorial,"Place the Claim, Reasoning, and Evidence orbs in orbit.",NA
2,5c53639ee4194c47a14dd415,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:07,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,-68.12590027,0.488281041,0.792359114,0.99999398,0.003488123,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,Is the planet safe?,Is planet WAT-247 habitable for humans? (Drag and drop Toppo's claim into the center orbit),NA
3,5c536af2e4194c47a14de881,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:38,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,261.8835449,294.2308044,53.77685928,0.177083567,0.984195828,0,"Find Toppo's Posters,Crash Diagnostics - Mountains,The Largest Watershed","49,poster1;49,poster3;49,poster4;49,poster5;49,poster6;46,jasper;28,Talk to Holo-Toppo;28,Argue which watershed is bigger","U2,U2_Collectibles,U2_Quests,U2_RightWaterfall",0.11.141,Watershed,Which watershed is bigger?,NA
4,5c66eb22e4194c47a1588f07,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,2/15/2019 4:38,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,616.8641357,-228.7518158,64.69435883,0.84245044,0.538773775,0,"Find Toppo's Posters,Crash Diagnostics - Mountains,History of WAT247,The Pollutant","49,poster1;49,poster4;49,poster5;49,poster6;46,jasper;50,watershed;50,dissolved materials;50,infiltration;50,energy;0,Convince Bill the pollutant is nearby","U3,U3_Collectibles,U3_Quests,U3_RiverSpline",0.11.141,Argumentation Tutorial,"Place the Claim, Reasoning, and Evidence orbs in orbit.",NA
5,5c66f8f4e4194c47a158aec1,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,2/15/2019 5:37,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,-9.196222305,49.84275818,-24.07999992,0.206202418,0.978509367,0,"Find Toppo's Posters,Crash Diagnostics - Mountains,History of WAT247,Argue about the Flooded Bunker","49,poster1;49,poster5;49,poster6;46,jasper;50,watershed;50,energy;12,Who Flooded the Armory?","U4_Bunker,U4_Bunker_Quests",0.11.141,Is the planet safe?,Is planet WAT-247 habitable for humans? (Drag and drop Toppo's claim into the center orbit),NA
6,5d4304c1e4194c2f5fffbd78,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,8/1/2019 5:26,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.235,8.2286129,-9.873865128,1.79754734,0.417944878,-0.908472657,0,"History of WAT247,Find Toppo's Posters,Crash Diagnostics - Mountains,U3 - Crash Side Quest P3,Convince Bill the Distillery will work","50,watershed;49,poster1;49,poster6;46,jasper;40,Find the supplies crate;33,convince bill","U5_Cave,U5_Cave_Quests,U5_Cave_Collectibles",0.11.235,Watershed,Which watershed is bigger?,NA
7,5d430aede4194c2f5fffef02,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,8/1/2019 5:53,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.235,-72.07056427,-100.2664871,58.96693802,0.211324945,-0.977416039,0,"History of WAT247,Find Toppo's Posters,Crash Diagnostics - Mountains,U3 - Crash Side Quest P3,U5 - Crash Diagnostics P7,Is Water Missing?","50,watershed;49,poster1;49,poster6;46,jasper;40,Find the supplies crate;62,Find the Black Box;89,Counter Him Cadet;89,Is the Water Missing?",Player_Base,0.11.235,Argumentation Tutorial,"Place the Claim, Reasoning, and Evidence orbs in orbit.",NA
8,5c536fb6e4194c47a14df1a9,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,2,91,1/31/2019 9:59,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,-3.803434134,-61.6202774,0.777678311,-0.843391538,-0.537299395,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Is the planet safe?,Is planet WAT-247 habitable for humans? (Drag and drop Toppo's claim into the center orbit),NA
9,5c53705be4194c47a14df38e,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,2,91,1/31/2019 10:02,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,-66.14299774,1.356626272,0.792359114,-0.992546201,0.121870399,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,Watershed,Which watershed is bigger?,NA
10,5c537888e4194c47a14e0bf0,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,2,91,1/31/2019 10:36,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,259.6969604,296.2352295,55.3685379,0.313992709,0.949425399,0,"Find Toppo's Posters,Crash Diagnostics - Mountains,The Largest Watershed","49,poster1;49,poster3;49,poster4;49,poster5;49,poster6;46,jasper;28,Talk to Holo-Toppo;28,Argue which watershed is bigger","U2,U2_Collectibles,U2_Quests,U2_RightWaterfall",0.11.141,Argumentation Tutorial,"Place the Claim, Reasoning, and Evidence orbs in orbit.",NA
11,5c66d41ce4194c47a1585620,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,2,91,2/15/2019 3:00,WindowsPlayer,NA,11,ArgumentationSuccessEvent,0,0.11.141,617.7021484,-229.2542267,64.54263306,2.99E-06,1,0,"Find Toppo's Posters,Crash Diagnostics - Mountains,History of WAT247,The Pollutant","49,poster1;49,poster3;49,poster4;49,poster5;49,poster6;46,jasper;50,watershed;50,dissolved materials;50,infiltration;50,energy;0,Convince Bill the pollutant is nearby","U3,U3_Collectibles,U3_Quests,U3_RiverSpline",0.11.141,Is the planet safe?,Is planet WAT-247 habitable for humans? (Drag and drop Toppo's claim into the center orbit),NA
