,ItemID,classId,buildType,installId,playerName,playerId,timestamp,platform,sessionId,teacherId,type,unit,buildVersion,PlayerpostionX,PlayerpostionZ,PlayerpostionY,CamerarotationX,CamerarotationZ,CamerarotationY,QuestTableF,TasktableF,Scenenames,buildVersion.1,eventDescription.description,eventDescription.name,eventDescription.title,
1,5c5362f4e4194c47a14dd25e,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Evidence is information collected from the environment that supports your claim.,A,Evidence,
2,5c5362f4e4194c47a14dd261,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Evidence is information collected from the environment that supports your claim.,A,Evidence,
3,5c5362f4e4194c47a14dd264,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Evidence is information collected from the environment that supports your claim.,A,Evidence,
4,5c5362f4e4194c47a14dd267,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,A reasoning is a scientifically accurate idea that logically connects your claim and evidence.,1,Reasoning,
5,5c5362f9e4194c47a14dd269,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Evidence is information collected from the environment that supports your claim.,A,Evidence,
6,5c5362f9e4194c47a14dd26c,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,A reasoning is a scientifically accurate idea that logically connects your claim and evidence.,1,Reasoning,
7,5c5362f9e4194c47a14dd26f,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Evidence is information collected from the environment that supports your claim.,A,Evidence,
8,5c5362f9e4194c47a14dd271,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Evidence is information collected from the environment that supports your claim.,A,Evidence,
9,5c5362f9e4194c47a14dd273,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,A claim is the main idea that you are trying to support.,I,Claim,
10,5c5362f9e4194c47a14dd275,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationStartHoverEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Evidence is information collected from the environment that supports your claim.,A,Evidence,
