,ItemID,classId,buildType,installId,playerName,playerId,timestamp,platform,sessionId,teacherId,type,unit,buildVersion,PlayerpostionX,PlayerpostionZ,PlayerpostionY,CamerarotationX,CamerarotationZ,CamerarotationY,QuestTableF,TasktableF,Scenenames,buildVersion.1,eventDescription.description,eventDescription.name,eventDescription.title,
1,5c5362f4e4194c47a14dd260,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,Evidence is information collected from the environment that supports your claim.,A,Evidence,
2,5c5362f9e4194c47a14dd26b,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,A reasoning is a scientifically accurate idea that logically connects your claim and evidence.,1,Reasoning,
3,5c5362f9e4194c47a14dd278,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:04,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-3.6123898,-62.4347534,0.7776784,-9.86E-01,0.166771233,0,U1 - An Amazing AI,"77,checkPoster;77,trialArg","U1,U1_Quest",0.11.141,A claim is the main idea that you are trying to support.,I,Claim,
4,5c53638fe4194c47a14dd3d3,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:07,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-68.1259003,0.488281,0.7923591,1.00E+00,-0.020945549,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,,B,Has landmasses and rainfall,
5,5c53638fe4194c47a14dd3d4,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:07,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-68.1259003,0.488281,0.7923591,1.00E+00,-0.020945549,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,,1,Water evaporates,
6,5c53638fe4194c47a14dd3e5,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:07,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-68.1259003,0.488281,0.7923591,1.00E+00,0.003488123,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,Planet WAT-247 is not safe for human habitation.,II,Planet is not safe,
7,5c536394e4194c47a14dd40b,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:07,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-68.1259003,0.488281,0.7923591,1.00E+00,0.003488123,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,Planet WAT-247 is safe for human habitation.,I,Planet is safe,
8,5c53639ee4194c47a14dd411,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:07,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-68.1259003,0.488281,0.7923591,1.00E+00,0.003488123,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,,1,Water evaporates,
9,5c5363bce4194c47a14dd464,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:08,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-68.1259003,0.488281,0.7923591,9.97E-01,0.078456461,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,The planet has land masses and we have observed rainfall.,B,Has landmasses and rainfall,
10,5c5363bce4194c47a14dd465,4,Development,e0e8ba1d-a1a8-492c-a490-549b4a24c221,1,90,1/31/2019 9:08,WindowsPlayer,NA,11,ArgumentationAddNodeEvent,0,0.11.141,-68.1259003,0.488281,0.7923591,9.97E-01,0.078456461,0,U1 - Time to Argue!,"78,toppoTalk;78,completeArg","U1,U1_Quest",0.11.141,Water that evaporates from the ocean will leave the salt behind. Thus the rain that falls on land will be drinkable.,1,Water evaporates,
